updated,has_2fa,real_name,tz_label,team_id,name,color,id,tz,is_ultra_restricted,is_primary_owner,is_app_user,is_admin,is_bot,is_restricted,is_owner,deleted,tz_offset
2020-04-01 11:18:46,,Christian Croghan,,T7GMC60JX,christian,,U010VFYCJG3,,,,,,,,,t,
2020-09-29 21:34:04,,Senaida Sallis,Central European Time,T7GMC60JX,senaida,d1707d,UFP6V5W4E,Europe/Brussels,,,,,,,,,3600
2020-09-27 17:15:58,,Javier Jimenes,Central Standard Time,T7GMC60JX,javier,d55aef,U0150NU7AR4,America/Chicago,,,,,,,,,-21600
2020-09-15 18:10:24,,Abram Annunziata,Pacific Standard Time,T7GMC60JX,abram,9e3997,U015ZU8GRDH,America/Los_Angeles,,,,,,,,,-28800
2020-09-17 07:19:01,,Carolyn Cortese,Central European Time,T7GMC60JX,carolyn,a72f79,U01APTV5FRQ,Europe/Amsterdam,,,,,,,,,3600
2020-09-24 09:30:59,,Narcisa Nevers,Greenwich Mean Time,T7GMC60JX,narcisa,c386df,U01AQ930Y3W,Europe/London,,,,,,,,,
2020-09-15 16:01:08,,Marx Mori,Greenwich Mean Time,T7GMC60JX,marx,aba727,U01AA2N616K,Europe/London,,,,,,,,,
2020-09-15 20:49:46,,Cornelia Clancy,Eastern Standard Time,T7GMC60JX,cornelia,965d1b,U01AAS0C63H,America/New_York,,,,,,,,,-18000
2020-09-16 06:56:06,,Cora Cassidy,India Standard Time,T7GMC60JX,cora,e85d72,U01ABLQ1JBH,Asia/Kolkata,,,,,,,,,19800
2020-09-16 14:53:10,,Malorie Manfre,India Standard Time,T7GMC60JX,malorie,8469bc,U01ACP97M1D,Asia/Kolkata,,,,,,,,,19800
2020-09-17 20:19:03,,Hue Hedberg,Argentina Time,T7GMC60JX,hue,2b6836,U01AGFYT98F,America/Buenos_Aires,,,,,,,,,-10800
2020-09-18 02:00:59,,Christy Capote,Australian Eastern Daylight Time,T7GMC60JX,christy,df3dc0,U01AH2MDLNB,Australia/Canberra,,,,,,,,,39600
2020-09-16 03:41:38,,Claire Cosby,Eastern Standard Time,T7GMC60JX,claire,bd9336,U01AKE8A0QN,America/New_York,,,,,,,,,-18000
2020-09-19 05:07:43,,Marcos Michaud,India Standard Time,T7GMC60JX,marcos,235e5b,U01AKM4CALX,Asia/Kolkata,,,,,,,,,19800
2020-09-16 08:49:44,,Marth Macaraeg,India Standard Time,T7GMC60JX,marth,dc7dbb,U01AKTKMGNS,Asia/Kolkata,,,,,,,,,19800
2020-09-17 02:35:09,,Dahlia Dressel,China Standard Time,T7GMC60JX,dahlia,b14cbc,U01AN8EJ5PG,Asia/Chongqing,,,,,,,,,28800
2020-09-17 14:51:36,,Chang Craner,South America Pacific Standard Time,T7GMC60JX,chang,e0a729,U01APJV08VC,America/Bogota,,,,,,,,,-18000
2020-09-22 06:07:27,,Wenona Wass,Indochina Time,T7GMC60JX,wenona,50a0cf,U01APS5PMV5,Asia/Bangkok,,,,,,,,,25200
2020-09-16 11:34:33,,Else Eggebrecht,Iran Standard Time,T7GMC60JX,else,bc3663,U01APSPML2Z,Asia/Tehran,,,,,,,,,12600
2020-09-15 14:18:36,,Rudolph Rapier,Central European Time,T7GMC60JX,rudolph,7d414c,U01AQLR42P5,Europe/Brussels,,,,,,,,,3600
2020-09-18 05:21:10,,Quinn Quirk,Australian Central Daylight Time,T7GMC60JX,quinn,4cc091,U01AR8TJVD4,Australia/Adelaide,,,,,,,,,37800
2020-09-17 03:01:07,,Roman Rinehart,China Standard Time,T7GMC60JX,roman,9f69e7,U01ARU2TSBX,Asia/Chongqing,,,,,,,,,28800
2020-09-22 23:14:00,,Olevia Orellana,Pacific Standard Time,T7GMC60JX,olevia,a2a5dc,U01AS3DR015,America/Los_Angeles,,,,,,,,,-28800
2020-09-17 06:49:09,,Buford Bonavita,Central European Time,T7GMC60JX,buford,4bbe2e,U01AS62LRFF,Europe/Amsterdam,,,,,,,,,3600
2020-09-16 01:22:09,,Mac Mina,Eastern Standard Time,T7GMC60JX,mac,dd8527,U01AS7YHYAF,America/New_York,,,,,,,,,-18000
2020-09-17 07:47:35,,Ardell Avilla,Central European Time,T7GMC60JX,ardell,3c989f,U01AS95NNE9,Europe/Warsaw,,,,,,,,,3600
2020-09-17 07:14:17,,Inez Isakson,Korea Standard Time,T7GMC60JX,inez,e7392d,U01AV9YLK1Q,Asia/Seoul,,,,,,,,,32400
2020-09-17 08:54:49,,Emerson Ettinger,Central European Time,T7GMC60JX,emerson,674b1b,U01AVFZ4BU2,Europe/Warsaw,,,,,,,,,3600
2020-09-18 18:49:38,,Ouida Owensby,Argentina Time,T7GMC60JX,ouida,5a4592,U01AWKX4U0M,America/Buenos_Aires,,,,,,,,,-10800
2020-09-17 18:17:00,,Lakita Lighty,Central Standard Time,T7GMC60JX,lakita,684b6c,U01AWU7EUEN,America/Chicago,,,,,,,,,-21600
2020-09-25 06:19:16,,Berenice Baumer,Pacific Standard Time,T7GMC60JX,berenice,a63024,U01AXKN0S86,America/Los_Angeles,,,,,,,,,-28800
2020-09-22 05:51:49,,Agnes Anastasio,India Standard Time,T7GMC60JX,agnes,ea2977,U01AXRXKGVC,Asia/Kolkata,,,,,,,,,19800
2020-09-25 03:12:15,,Willow Waldroup,China Standard Time,T7GMC60JX,willow,e7392d,U01AY60D1RD,Asia/Chongqing,,,,,,,,,28800
2020-09-25 13:47:34,,Leota Labella,Central Standard Time,T7GMC60JX,leota,674b1b,U01AZ780CT1,America/Chicago,,,,,,,,,-21600
2020-09-18 17:39:18,,Shawnda Schnur,Uruguay Time,T7GMC60JX,shawnda,d58247,U01AZHLFTM0,America/Montevideo,,,,,,,,,-10800
2020-09-22 19:17:17,,Hortencia Haines,Central European Time,T7GMC60JX,hortencia,8f4a2b,U01AZLMAHL6,Europe/Amsterdam,,,,,,,,,3600
